"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.858365417E-1,-4.563810289E-2,-1.999307750E-1,6.145486508E-1,6.478620189E-1
5.957655417E-1,-4.122754812E-2,-1.907757895E-1,8.770180285E-1,8.984741148E-1
6.056955417E-1,-9.596450329E-3,-2.307672362E-1,1.096918945E0,1.120971356E0
6.156245417E-1,4.386932015E-2,-3.246279113E-1,1.202268230E0,1.246096583E0
6.255545417E-1,5.800788760E-2,-4.182280929E-1,1.127371829E0,1.203846707E0
6.354835417E-1,1.091026121E-1,-5.486619325E-1,8.429468876E-1,1.011678186E0
6.454125417E-1,-8.572018147E-3,-6.108685595E-1,5.793389109E-1,8.419426644E-1
6.553425417E-1,-2.696361637E-1,-6.128990051E-1,6.669310784E-1,9.450639738E-1
6.652715417E-1,-4.751219398E-1,-5.976911281E-1,8.432250689E-1,1.137542992E0
6.752015417E-1,-4.960994107E-1,-6.112055053E-1,9.854742309E-1,1.261287539E0
6.851305417E-1,-5.844227725E-1,-6.275989053E-1,1.228317429E0,1.498063440E0
6.950605417E-1,-8.233294791E-1,-6.537991092E-1,1.415589859E0,1.763297864E0
7.049895417E-1,-1.010561417E0,-5.682987830E-1,1.501841991E0,1.897294719E0
7.149195417E-1,-1.044678751E0,-4.978395055E-1,1.420180655E0,1.831969148E0
7.248485417E-1,-1.006750202E0,-4.873475906E-1,1.303533088E0,1.717629807E0
7.347775417E-1,-7.818814909E-1,-4.092819626E-1,1.120830988E0,1.426573690E0
7.447075417E-1,-3.959184802E-1,-3.901006468E-1,7.890659648E-1,9.651709975E-1
7.546365417E-1,-1.175875068E-3,-4.507309740E-1,2.580269556E-1,5.193627860E-1
7.645665417E-1,2.673311913E-1,-4.845045282E-1,-2.516893047E-1,6.079129130E-1
7.744955417E-1,4.460922682E-1,-4.484395964E-1,-6.180546413E-1,8.843573503E-1
7.844255417E-1,3.351805276E-1,-4.205507532E-1,-6.773992024E-1,8.649153725E-1
7.943545417E-1,2.586948538E-1,-4.234769557E-1,-5.123612483E-1,7.132810162E-1
8.042845417E-1,2.503666645E-1,-3.563168600E-1,-4.814144209E-2,4.381355611E-1
8.142135417E-1,4.173187047E-1,-2.677550779E-1,3.876275669E-1,6.293669944E-1
8.241425417E-1,5.283731174E-1,-2.739812662E-1,7.005272792E-1,9.192292176E-1
8.340725417E-1,6.571194506E-1,-3.870884536E-1,8.605335581E-1,1.149852794E0
8.440015417E-1,8.117081380E-1,-4.478842936E-1,9.533160067E-1,1.329767593E0
8.539315417E-1,8.218746918E-1,-3.819162259E-1,9.022049099E-1,1.278793069E0
8.638605417E-1,7.741485482E-1,-2.587386348E-1,7.861248153E-1,1.133244846E0
8.737905417E-1,7.022687262E-1,-7.876141012E-2,5.955490007E-1,9.241554716E-1
8.837195417E-1,6.002973783E-1,1.905266615E-1,2.444140528E-1,6.755705591E-1
8.936495417E-1,3.848953092E-1,3.731036679E-1,-2.311398500E-1,5.837605471E-1
9.035785417E-1,1.480374670E-1,5.156428519E-1,-5.951253699E-1,8.012345775E-1
9.135075417E-1,-1.698984522E-1,6.219116110E-1,-7.074780107E-1,9.571649134E-1
9.234375417E-1,-4.061885297E-1,6.360764909E-1,-7.458499248E-1,1.061072351E0
9.333665417E-1,-3.152181333E-1,5.609811388E-1,-6.992278817E-1,9.502536189E-1
9.432965417E-1,-2.817527640E-1,3.763470454E-1,-4.949365456E-1,6.826301362E-1
